trial_id,context,coh1,coh2,relevant_coh,irrelevant_coh,label,difficulty,final_q_coupled,final_q_decoupled
173,1,-0.3,0.3,0.3,-0.3,1.0,0.3,0.84066206,-0.018505055
174,0,-0.7,0.5,-0.7,0.5,-1.0,0.7,-1.295006,-0.030114219
175,0,0.3,0.15,0.3,0.15,1.0,0.3,0.8745819,-0.030114219
176,1,0.3,0.5,0.5,0.3,1.0,0.5,1.2039293,-0.018505055
177,1,0.15,-0.3,-0.3,0.15,-1.0,0.3,-0.5989071,-0.018505055
178,1,-0.15,-0.3,-0.3,-0.15,-1.0,0.3,-0.3457809,-0.018505055
179,0,0.3,-0.7,0.3,-0.7,1.0,0.3,0.72374845,-0.030114219
180,0,-0.7,-0.7,-0.7,-0.7,-1.0,0.7,-1.7048217,-0.030114219
181,1,-0.5,-0.7,-0.7,-0.5,-1.0,0.7,-1.3020176,-0.018505055
182,1,-0.3,-0.5,-0.5,-0.3,-1.0,0.5,-0.89926964,-0.018505055
183,1,0.7,-0.7,-0.7,0.7,-1.0,0.7,-0.62202805,-0.018505055
184,1,0.5,0.7,0.7,0.5,1.0,0.7,1.6664691,-0.018505055
185,0,-0.15,0.15,-0.15,0.15,-1.0,0.15,-0.20888036,-0.030114219
186,0,0.5,0.15,0.5,0.15,1.0,0.5,1.4666814,-0.030114219
187,0,-0.15,0.15,-0.15,0.15,-1.0,0.15,-0.37358537,-0.030114219
188,1,0.7,0.15,0.15,0.7,1.0,0.15,0.50605446,-0.018505055
189,0,0.3,0.15,0.3,0.15,1.0,0.3,0.6413439,-0.030114219
190,0,0.15,0.5,0.15,0.5,1.0,0.15,0.067909084,-0.030114219
191,0,0.7,-0.3,0.7,-0.3,1.0,0.7,1.5517448,-0.030114219
192,0,0.3,0.15,0.3,0.15,1.0,0.3,0.78301364,-0.030114219
193,1,-0.3,-0.3,-0.3,-0.3,-1.0,0.3,-0.30892977,-0.018505055
194,1,-0.5,-0.15,-0.15,-0.5,-1.0,0.15,-0.15099318,-0.018505055
195,1,-0.3,-0.15,-0.15,-0.3,-1.0,0.15,-0.032395627,-0.018505055
196,0,-0.3,0.3,-0.3,0.3,-1.0,0.3,-0.7020295,-0.030114219
197,0,-0.3,-0.15,-0.3,-0.15,-1.0,0.3,-0.6506447,-0.030114219
198,1,-0.3,-0.7,-0.7,-0.3,-1.0,0.7,-1.2618564,-0.018505055
199,0,0.5,-0.7,0.5,-0.7,1.0,0.5,1.0347215,-0.030114219
200,0,0.15,0.3,0.15,0.3,1.0,0.15,0.38276523,-0.030114219
201,1,0.15,-0.3,-0.3,0.15,-1.0,0.3,-0.6144745,-0.018505055
202,1,0.5,-0.15,-0.15,0.5,-1.0,0.15,-0.21235621,-0.018505055
203,1,0.3,0.15,0.15,0.3,1.0,0.15,0.527141,-0.018505055
204,1,0.3,0.7,0.7,0.3,1.0,0.7,1.463265,-0.018505055
205,0,-0.3,-0.15,-0.3,-0.15,-1.0,0.3,-0.6825343,-0.030114219
206,1,0.3,0.3,0.3,0.3,1.0,0.3,1.0596447,-0.018505055
207,0,0.5,-0.7,0.5,-0.7,1.0,0.5,1.0011857,-0.030114219
208,0,-0.3,-0.3,-0.3,-0.3,-1.0,0.3,-0.5270303,-0.030114219
209,1,0.3,0.15,0.15,0.3,1.0,0.15,0.43914723,-0.018505055
210,1,0.5,0.7,0.7,0.5,1.0,0.7,1.5165018,-0.018505055
211,0,0.7,0.7,0.7,0.7,1.0,0.7,1.5141057,-0.030114219
212,1,0.5,-0.5,-0.5,0.5,-1.0,0.5,-0.68640566,-0.018505055
213,1,0.3,-0.5,-0.5,0.3,-1.0,0.5,-0.86992437,-0.018505055
214,1,0.5,0.3,0.3,0.5,1.0,0.3,0.7581463,-0.018505055
215,1,0.15,0.15,0.15,0.15,1.0,0.15,0.41285878,-0.018505055
216,0,-0.7,-0.5,-0.7,-0.5,-1.0,0.7,-1.5833411,-0.030114219
217,1,0.7,0.7,0.7,0.7,1.0,0.7,1.7595115,-0.018505055
218,0,0.3,-0.7,0.3,-0.7,1.0,0.3,0.6425487,-0.030114219
219,0,0.3,0.15,0.3,0.15,1.0,0.3,0.8863593,-0.030114219
220,1,0.15,0.5,0.5,0.15,1.0,0.5,1.1369662,-0.018505055
221,1,-0.5,0.3,0.3,-0.5,1.0,0.3,0.6866506,-0.018505055
222,0,0.15,-0.3,0.15,-0.3,1.0,0.15,0.6790736,-0.030114219
223,1,0.15,0.3,0.3,0.15,1.0,0.3,0.8059068,-0.018505055
224,1,0.3,-0.3,-0.3,0.3,-1.0,0.3,-0.6544228,-0.018505055
225,0,-0.15,0.15,-0.15,0.15,-1.0,0.15,-0.24853756,-0.030114219
